"Var1"	"Freq"
"709"	"ITGA2"	3
"710"	"KDM6B"	3
"711"	"KIF11"	3
"712"	"KISS1"	3
"713"	"KITLG"	3
"714"	"KMT5A"	3
"715"	"LAMP2"	3
"716"	"LCN1"	3
"717"	"LCN2"	3
"718"	"LGALS1"	3
"719"	"LHX4"	3
"720"	"LIF"	3
"721"	"LMX1B"	3
"722"	"LRP1"	3
"723"	"LZTS1"	3
"724"	"MAMLD1"	3
"725"	"MAP1LC3A"	3
"726"	"MAP3K7"	3
"727"	"MAP4K4"	3
"728"	"MBD2"	3
"729"	"MCM7"	3
"730"	"MERTK"	3
"731"	"MICA"	3
"732"	"MITF"	3
"733"	"MKNK1"	3
"734"	"MMP10"	3
"735"	"MST1"	3
"736"	"MTA3"	3
"737"	"MTOR"	3
"738"	"MVP"	3
"739"	"MYLK3"	3
"740"	"NAA10"	3
"741"	"NAP1L4"	3
"742"	"NCKIPSD"	3
"743"	"NCOA4"	3
"744"	"NCOR2"	3
"745"	"NCR1"	3
"746"	"NCR3"	3
"747"	"NDUFA9"	3
"748"	"NFKB2"	3
"749"	"NOD2"	3
"750"	"NOS1"	3
"751"	"NPTX1"	3
"752"	"NR1I2"	3
"753"	"P2RX7"	3
"754"	"PAGR1"	3
"755"	"PBK"	3
"756"	"PDE4A"	3
"757"	"PDGFA"	3
"758"	"PDIA3"	3
"759"	"PDK4"	3
"760"	"PDPK1"	3
"761"	"PDZK1"	3
"762"	"PEA15"	3
"763"	"PFKM"	3
"764"	"PIK3C3"	3
"765"	"PIM2"	3
"766"	"PIP"	3
"767"	"PIP4K2A"	3
"768"	"PLGLB1"	3
"769"	"POSTN"	3
"770"	"PPFIBP2"	3
"771"	"PPP1R12A"	3
"772"	"PPP1R15A"	3
"773"	"PRDX2"	3
"774"	"PRKAB1"	3
"775"	"PROK1"	3
"776"	"PROK2"	3
"777"	"PRPF3"	3
"778"	"PSMB1"	3
"779"	"PSMB2"	3
"780"	"PSMB5"	3
"781"	"PSMD4"	3
"782"	"PTCH1"	3
"783"	"PTER"	3
"784"	"PTGDR"	3
"785"	"PTGES3"	3
"786"	"PTN"	3
"787"	"PTPRJ"	3
"788"	"RAB31"	3
"789"	"RACK1"	3
"790"	"RALBP1"	3
"791"	"RARRES2"	3
"792"	"RHAG"	3
"793"	"RHBDF1"	3
"794"	"RHBDF2"	3
"795"	"RNF216"	3
"796"	"ROCK2"	3
"797"	"RPLP1"	3
"798"	"RPP14"	3
"799"	"RPS18"	3
"800"	"RPS9"	3
"801"	"RXRG"	3
"802"	"S100A4"	3
"803"	"SDC2"	3
"804"	"SDHC"	3
"805"	"SETBP1"	3
"806"	"SFRP1"	3
"807"	"SFRP2"	3
"808"	"SLC16A3"	3
"809"	"SLC22A12"	3
"810"	"SLC22A6"	3
"811"	"SLC25A4"	3
"812"	"SLC2A12"	3
"813"	"SLC2A9"	3
"814"	"SLC38A5"	3
"815"	"SMAD1"	3
"816"	"SMN1"	3
"817"	"SPDEF"	3
"818"	"SQSTM1"	3
"819"	"SRA1"	3
"820"	"STAT6"	3
"821"	"STIP1"	3
"822"	"SULT2A1"	3
"823"	"TACSTD2"	3
"824"	"TAGLN"	3
"825"	"TBC1D1"	3
"826"	"TBC1D4"	3
"827"	"TBCE"	3
"828"	"TBK1"	3
"829"	"TCEA1"	3
"830"	"TDO2"	3
"831"	"TET3"	3
"832"	"TFDP3"	3
"833"	"TFF1"	3
"834"	"TGFBR2"	3
"835"	"TGM2"	3
"836"	"TIMP4"	3
"837"	"TNFAIP2"	3
"838"	"TNFRSF8"	3
"839"	"TRIM33"	3
"840"	"TRPC3"	3
"841"	"TSPYL2"	3
"842"	"TSTD1"	3
"843"	"TTF1"	3
"844"	"TYR"	3
"845"	"UBE2I"	3
"846"	"UBE2S"	3
"847"	"UGDH"	3
"848"	"UGT2A1"	3
"849"	"UGT2B17"	3
"850"	"UNG"	3
"851"	"USP14"	3
"852"	"VCP"	3
"853"	"VEGFB"	3
"854"	"WDR5"	3
"855"	"WNT16"	3
"856"	"XIRP1"	3
"857"	"YES1"	3
"858"	"ZBTB10"	3
"859"	"ZBTB4"	3
"860"	"AAGAB"	2
"861"	"ABCA1"	2
"862"	"ABCA3"	2
"863"	"ABCA4"	2
"864"	"ABCB1"	2
"865"	"ABCB5"	2
"866"	"ABCC2"	2
"867"	"ABCG1"	2
"868"	"ABCG5"	2
"869"	"ACHE"	2
